track_id,as_of_date,current_rank,rank_1d_ago,rank_3d_ago,rank_7d_ago,velocity_1d,velocity_3d,velocity_7d,acceleration,volatility_14d,days_tracked_so_far,n_sources_today,label
3,2026-08-26,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6685579234215213,13,2,1.0
3,2026-08-27,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.650443635587991,14,2,
3,2026-08-28,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.630425171956115,15,2,
3,2026-08-31,1,,1.0,1.0,,0.0,0.0,0.0,0.0,16,2,
3,2026-09-14,3,,,,,,,,,17,2,
3,2026-09-15,3,3.0,,,0.0,,,,,18,2,
4,2026-08-11,4,,,,,,,,,1,1,1.0
4,2026-08-13,5,4.0,,,-1.0,,,,,2,2,1.0
4,2026-08-14,5,5.0,4.0,,0.0,-0.3333333333333333,,,0.5773502691896258,3,2,1.0
4,2026-08-15,4,5.0,4.0,,1.0,0.0,,,0.5773502691896257,4,2,1.0
4,2026-08-16,5,4.0,5.0,,-1.0,0.0,,,0.5477225575051662,5,2,1.0
4,2026-08-18,4,5.0,4.0,4.0,1.0,0.0,0.0,0.0,0.5477225575051661,6,2,1.0
4,2026-08-20,2,4.0,5.0,5.0,2.0,1.0,0.42857142857142855,0.5714285714285714,1.0690449676496976,7,2,1.0
4,2026-08-21,3,2.0,4.0,5.0,-1.0,0.3333333333333333,0.2857142857142857,0.047619047619047616,1.0690449676496976,8,2,1.0
4,2026-08-22,3,3.0,4.0,4.0,0.0,0.3333333333333333,0.14285714285714285,0.19047619047619047,1.0540925533894598,9,2,1.0
4,2026-08-23,3,3.0,2.0,5.0,0.0,-0.3333333333333333,0.2857142857142857,-0.6190476190476191,1.0327955589886446,10,2,1.0
4,2026-08-24,3,3.0,3.0,5.0,0.0,0.0,0.2857142857142857,-0.2857142857142857,1.009049958219026,11,2,
4,2026-08-25,3,3.0,3.0,4.0,0.0,0.0,0.14285714285714285,-0.14285714285714285,0.984731927834662,12,2,1.0
4,2026-08-26,3,3.0,3.0,4.0,0.0,0.0,0.14285714285714285,-0.14285714285714285,0.996204919895622,13,2,1.0
4,2026-08-27,3,3.0,3.0,2.0,0.0,0.0,-0.14285714285714285,0.14285714285714285,0.9674179220468453,14,2,
4,2026-08-28,3,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.8697184926229038,15,2,
4,2026-08-31,2,,3.0,3.0,,0.3333333333333333,0.14285714285714285,0.19047619047619047,0.5393598899705938,16,2,
4,2026-09-14,5,,,,,,,,,17,2,
4,2026-09-15,5,5.0,,,0.0,,,,,18,2,
5,2026-08-11,5,,,,,,,,,1,1,1.0
5,2026-08-13,1,5.0,,,4.0,,,,,2,2,1.0
5,2026-08-14,1,1.0,5.0,,0.0,1.3333333333333333,,,2.3094010767585034,3,2,1.0
5,2026-08-15,1,1.0,5.0,,0.0,1.3333333333333333,,,2.0,4,2,1.0
5,2026-08-16,1,1.0,1.0,,0.0,0.0,,,1.7888543819998322,5,2,1.0
5,2026-08-18,2,1.0,1.0,5.0,-1.0,-0.3333333333333333,0.42857142857142855,-0.7619047619047619,1.6020819787597222,6,2,1.0
5,2026-08-20,3,2.0,1.0,1.0,-1.0,-0.6666666666666666,-0.2857142857142857,-0.38095238095238093,1.5275252316519468,7,2,1.0
5,2026-08-21,2,3.0,2.0,1.0,1.0,0.0,-0.14285714285714285,0.14285714285714285,1.4142135623730951,8,2,1.0
